,0
0,174.3767178411646
1,181.62335098845696
2,174.15057763541358
3,169.67579394673945
4,178.28243484107432
5,174.41799827890046
6,173.33114040440202
7,164.43241949801217
8,185.95914823666058
9,189.6915511128686
10,165.32311453450535
11,175.30619121719735
12,187.1016734809635
13,174.88856044686617
14,180.58788079936042
15,170.74721943366504
16,172.17576178047042
17,166.3858663822659
18,170.95497457971476
19,183.42016434013146
20,176.54180780045846
21,180.8588909675568
22,173.8849030116853
23,180.67093271084795
24,179.91732986235414
25,161.19097365210746
26,164.83517921027823
27,173.76337626440178
28,168.89860755377944
29,192.8483896566344
30,170.8743220814361
31,182.69148986119131
32,179.39399036668428
33,172.5529180332677
34,174.0833546467869
35,164.4239054960051
36,167.93399804393803
37,177.46937490631805
38,168.68404399103088
39,168.07723451491663
40,170.14874698262904
41,166.78529865041548
42,161.19489656322514
43,180.61962880191498
44,171.3072997985476
45,165.7995108562631
46,179.46044871567443
47,180.01771106216134
48,171.90853487096197
49,176.0756420646775
50,159.61568548931317
51,173.32304420654407
52,164.46410803178114
53,174.75265237506417
54,172.0592484231154
55,172.35174665207987
56,162.24298351172925
57,168.57083048659675
58,178.653230278685
59,176.747903055864
60,173.83868695660283
61,175.20718504740321
62,179.37389517119584
63,179.7525106838509
64,156.40120033816106
65,174.54191841026284
66,174.18150945633957
67,176.59029828328622
68,155.48742512229222
69,172.68707895409352
70,168.81795365238287
71,179.56295355210727
72,164.88761122298436
73,169.00534450914904
74,176.7324424986818
75,183.33966356296258
76,180.81065889574202
77,172.99376708806597
78,161.5978549488952
79,163.53738338045298
80,173.6726477850869
81,176.11496501304174
82,177.47780408291058
83,167.06766673742607
84,177.63396393912424
85,174.1989131562619
86,169.40491247437788
87,173.31175928008312
88,164.7975830454973
89,174.69666413529703
90,192.2022404310319
91,176.27660337786887
92,157.29766144047514
93,171.69020441713585
94,177.25322338605744
95,171.8495489135719
96,164.02586860422434
97,178.58659937290776
98,173.32081961153784
99,184.21066587422564
100,165.19279948851593
101,162.81714000743145
102,162.05700462773416
103,170.21750596043444
104,181.41912072354856
105,186.74599205668054
106,184.87016040869764
107,173.74277823831545
108,167.20273402518143
109,165.73965314252834
110,164.82807328206272
111,184.95596470944395
112,188.3293774718943
113,182.1431411993739
114,162.02655729418737
115,181.51378820474633
116,182.73223190385215
117,176.40201994786392
118,179.36343245843636
119,166.93936644320036
120,175.9830503256457
121,177.19722799573879
122,167.6647099078201
123,166.9281461383972
124,178.45486066745386
125,163.636184081348
126,176.43091104548967
127,168.65331740312774
128,166.03303678090674
129,183.1955725721644
130,174.5890233278516
131,169.1589116569838
132,171.99622545967208
133,177.61910590249744
134,180.78470896364485
135,160.2068758249272
136,186.191845205786
137,178.447058733187
138,173.67592399967157
139,181.55478779053618
140,168.91548111251356
141,162.78891309944672
142,179.0627810975065
143,182.84107539114476
144,173.51918934351443
145,187.3852754367775
146,180.9733077848447
147,169.56976887798888
148,171.96510508494376
149,176.8205245558183
150,184.3407219789823
151,175.02705516661192
152,163.95621014189297
153,168.10661934622482
154,172.92636969527518
155,170.24512574792178
156,182.27550275011362
157,182.37233477575975
158,171.68872182434623
159,167.59553692435753
160,177.6880165541193
161,158.0905648012066
162,168.87365140784758
163,175.57417443189826
164,168.24716935810295
165,169.5935458676462
166,183.2725246010955
167,158.34628643636387
168,171.2974679352749
169,183.47664469427906
170,159.21820397127308
171,183.62701741557052
172,174.08637420898611
173,172.29700025358443
174,174.98462751962154
175,180.28445593854087
176,173.73351961965477
177,160.0882078991321
178,172.7346341952549
179,179.13900112088174
180,178.04701093067314
181,170.83247490920127
182,172.80929420969542
183,180.9496884026052
184,156.23240506278933
185,181.09033270759346
186,176.66491683416237
187,166.7131174432874
188,174.5057251578922
189,164.41845628927152
